id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;black;1;1;Gauteng;male;40;ICC Cricket World Cup 2011;2025-11-18T01:12:46.000Z
1;coloured;1;1;Eastern Cape;male;29;Supersport Live Events;2025-11-18T01:12:34.000Z
1;black;1;1;Gauteng;male;38;Trace TV;2025-11-18T01:12:18.000Z
1;black;1;1;Gauteng;male;25;Trace TV;2025-11-18T01:12:18.000Z
1;indian_asian;1;1;Gauteng;male;22;ICC Cricket World Cup 2011;2025-11-18T01:11:22.000Z
1;indian_asian;1;1;Western Cape;male;41;Supersport Live Events;2025-11-18T01:11:12.000Z
1;black;1;1;Gauteng;male;27;Channel O;2025-11-18T01:11:06.000Z
1;white;1;1;Gauteng;male;33;ICC Cricket World Cup 2011;2025-11-18T01:10:52.000Z
1;black;1;1;Gauteng;male;45;Supersport Live Events;2025-11-18T01:10:46.000Z
1;indian_asian;1;1;Limpopo;male;24;ICC Cricket World Cup 2011;2025-11-18T01:10:42.000Z
1;black;1;1;Gauteng;female;27;Trace TV;2025-11-18T01:10:21.000Z
1;black;1;1;Gauteng;male;30;Channel O;2025-11-18T01:09:51.000Z
1;black;1;1;Gauteng;male;27;ICC Cricket World Cup 2011;2025-11-18T01:09:40.000Z
1;indian_asian;1;1;Gauteng;male;34;CNN;2025-11-18T01:09:30.000Z
1;indian_asian;1;1;Free State;male;26;ICC Cricket World Cup 2011;2025-11-18T01:09:12.000Z
1;indian_asian;1;1;Gauteng;male;34;ICC Cricket World Cup 2011;2025-11-18T01:09:02.000Z
1;black;1;1;Eastern Cape;female;15;Channel O;2025-11-18T01:08:42.000Z
1;indian_asian;1;1;Limpopo;male;39;Supersport Live Events;2025-11-18T01:08:28.000Z
1;black;1;1;Kwazulu Natal;female;35;Channel O;2025-11-18T01:08:27.000Z
1;black;1;1;Free State;male;46;Channel O;2025-11-18T01:08:18.000Z
1;indian_asian;1;1;Gauteng;male;22;ICC Cricket World Cup 2011;2025-11-18T01:08:18.000Z
1;indian_asian;1;1;Gauteng;male;39;ICC Cricket World Cup 2011;2025-11-18T01:08:08.000Z
1;coloured;1;1;Western Cape;male;24;Trace TV;2025-11-18T01:07:57.000Z
1;indian_asian;1;1;Gauteng;male;48;ICC Cricket World Cup 2011;2025-11-18T01:07:46.000Z
1;white;1;1;Gauteng;male;37;Supersport Live Events;2025-11-18T01:07:42.000Z
1;indian_asian;1;1;Kwazulu Natal;male;51;Trace TV;2025-11-18T01:07:30.000Z
1;None;1;1;Gauteng;male;46;ICC Cricket World Cup 2011;2025-11-18T01:07:12.000Z
1;other;1;1;Western Cape;male;37;ICC Cricket World Cup 2011;2025-11-18T01:07:00.000Z
1;black;1;1;Free State;male;29;Trace TV;2025-11-18T01:06:57.000Z
1;white;1;1;Mpumalanga;male;26;ICC Cricket World Cup 2011;2025-11-18T01:06:36.000Z
1;indian_asian;1;1;Mpumalanga;male;28;ICC Cricket World Cup 2011;2025-11-18T01:06:24.000Z
1;None;1;1;None;None;0;Channel O;2025-11-18T01:06:21.000Z
1;black;1;1;Northern Cape;female;36;Trace TV;2025-11-18T01:06:03.000Z
1;black;1;1;Kwazulu Natal;male;57;Supersport Live Events;2025-11-18T01:05:54.000Z
1;coloured;1;1;Kwazulu Natal;male;35;Supersport Live Events;2025-11-18T01:05:38.000Z
1;white;1;1;Western Cape;male;25;Cartoon Network;2025-11-18T01:05:37.000Z
1;white;1;1;Kwazulu Natal;male;37;Supersport Live Events;2025-11-18T01:05:14.000Z
1;coloured;1;1;Eastern Cape;male;28;Supersport Live Events;2025-11-18T01:05:12.000Z
1;white;1;1;Western Cape;male;44;Boomerang;2025-11-18T01:05:04.000Z
1;black;1;1;Gauteng;male;33;CNN;2025-11-18T01:04:59.000Z
1;None;1;1;None;None;0;Cartoon Network;2025-11-18T01:04:58.000Z
1;coloured;1;1;Kwazulu Natal;male;44;Boomerang;2025-11-18T01:04:56.000Z
